slug,aliases,name,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,durationSeconds,tags,benefits,useCases,instructions,commonMistakes,shortDescription,longDescription,posterFile,videoFile
dumbbell-shrug,,Dumbbell Shrug,Trapezius,,Dumbbell,Isolation,beginner,5.87,dumbbell shrug; traps exercise; pull day; dumbbells; isolation; upper body,Builds upper-trap thickness and shoulder-girdle strength.; Improves carrying and pulling capacity under heavy load.; Adds visible upper-back size for any physique program.,Pull-day workout flows in strength training apps; Trap and neck assets for athletic prep programs; Hypertrophy program assets for upper-body splits; Coach and trainer Reels for back and trap content,"1. Stand tall with a dumbbell in each hand at your sides and your feet shoulder-width apart. ; 2. Let your arms hang straight down with palms facing your thighs and core braced. ; 3. Keep your chest up, chin neutral, and shoulders relaxed in the starting position. ; 4. Shrug your shoulders straight up toward your ears as high as they will go without bending the elbows. ; 5. Pause and squeeze the traps hard at the top of the shrug for one full second. ; 6. Lower the dumbbells back down under control and feel the stretch before the next rep.","Rolling the shoulders forward or backward, which adds joint strain without making the lift more effective.; Bending the elbows during the lift, which turns the shrug into a partial pull and reduces trap work.; Bouncing into the bottom of each rep, losing tension and bypassing the trap stretch.; Going too heavy and barely moving the dumbbells, which leaves the traps under-stimulated.",The standing shrug with two dumbbells — the most accessible trap exercise in any program and a staple of pull-day work.,"The dumbbell shrug is the simplest, most effective way to load the upper traps. Standing tall with a dumbbell in each hand and shrugging the shoulders straight up loads the traps through their full range of motion, with no setup, no rack, and no bar to balance.

For fitness app builders, this is the trap exercise most users will actually program — it doesn't need a barbell, a trap bar, or a cable stack. Ship it in your pull-day flows, your upper-body splits, and any beginner-to-intermediate hypertrophy track. It's also a clean clip for shoulder-day finishers and athletic prep programs that need neck and trap strength.",posters/dumbbell-shrug.webp,dumbbell-shrug.mp4
dumbbell-side-bend,,Dumbbell Side Bend,Core,,Dumbbell,Core,beginner,9.87,dumbbell side bend; obliques exercise; core workout; dumbbells; isolation; ab exercise,Builds oblique strength and side-trunk stability.; Trains lateral spinal flexion against external load.; Adds visible side-core definition over time.,Ab and core blocks in general-population fitness apps; Beginner core education in coaching platforms; Hypertrophy-style oblique assets for online courses; Home and travel core workouts in fitness apps,"1. Stand tall with a dumbbell in your right hand and your left hand placed lightly on your hip. ; 2. Set your feet shoulder-width apart with knees soft and core lightly braced. ; 3. Keep your chest up and gaze forward through the entire set. ; 4. Bend slowly to the right side, lowering the dumbbell along your thigh until you feel a stretch in the left obliques. ; 5. Pause briefly at the bottom of the bend without rotating the torso forward or back. ; 6. Pull yourself back up to a fully upright position by squeezing the left obliques, then repeat for reps before switching sides.","Bending forward instead of straight to the side, which loads the lower back instead of the obliques.; Using too heavy a dumbbell and using momentum, which kills the contraction and risks lower-back strain.; Holding a dumbbell in both hands at once, which cancels out the side load and removes the training effect.; Rushing through reps and skipping the squeeze at the top, where the obliques shorten the most.","A standing side bend with one dumbbell that trains the obliques against gravity — a simple, focused side-trunk lift.","The dumbbell side bend trains the obliques by loading one side of the body and bending sideways against gravity. Holding a dumbbell in one hand and tipping the torso to that side stretches the opposite obliques, then those same obliques pull the body back upright — a clean side-flexion movement that's easy to teach and easy to load.

This is a useful inclusion in any core block, ab program, or beginner strength track in a fitness app. It's also a popular pick for general-population users who want a focused oblique exercise without doing high-skill anti-rotation work. Pair it with planks and crunch variants for a balanced ab assortment.",posters/dumbbell-side-bend.webp,dumbbell-side-bend.mp4
dumbbell-single-arm-chest-press,,Dumbbell Single Arm Chest Press,Chest,Triceps,Dumbbell,Push,beginner,5.07,dumbbell single arm chest press; chest exercise; push day; dumbbells; unilateral; upper body,Builds chest and triceps strength one side at a time.; Trains core anti-rotation through real pressing load.; Fixes side-to-side imbalances in horizontal pressing.,Push-day workout flows in fitness apps; Athletic prep programs in coaching platforms; Unilateral training tracks for performance content; Beginner-to-intermediate chest education modules,"1. Lie flat on a bench with one dumbbell held over your chest and the other arm braced on the bench. ; 2. Plant your feet firmly on the floor and pull your shoulder blades back and down into the bench. ; 3. Start with the working arm extended over your shoulder with the palm facing your feet. ; 4. Lower the dumbbell slowly to the side of your chest with the elbow tracked at about 60 to 75 degrees. ; 5. Pause briefly when the dumbbell touches the side of the chest, fighting any rotation in your torso. ; 6. Press the dumbbell back up to full extension, squeeze the chest, and repeat for reps before switching arms.","Letting the torso twist toward the working side, which turns the press into a rotational lift.; Flaring the elbow out to 90 degrees, which strains the front shoulder and shortens the press.; Using too much weight and bouncing the dumbbell off the chest instead of pausing or controlling the touch.; Lifting the off-side hip or shoulder off the bench for leverage, which destabilizes the lift.",A one-arm dumbbell bench press that trains the chest with built-in core anti-rotation — push-day work that doubles as core training.,"The dumbbell single arm chest press is a horizontal press loaded on only one side of the body. With one dumbbell pressing up over the chest, the unloaded side has to brace hard to keep the torso flat on the bench, which turns the lift into both a chest press and an anti-rotation core exercise at the same time.

For fitness app and coaching platform builders, this is a smart inclusion in any push-day flow that needs unilateral work. It also fits well into athletic prep programs where rotational stability matters, and into beginner-to-intermediate hypertrophy tracks where a one-side-at-a-time chest exercise helps fix muscular imbalances.",posters/dumbbell-single-arm-chest-press.webp,dumbbell-single-arm-chest-press.mp4
dumbbell-single-arm-clean-and-press,,Dumbbell Single Arm Clean And Press,Core; Glutes; Shoulders,,Dumbbell,Push,advanced,9.6,dumbbell clean and press; full body exercise; conditioning; dumbbells; compound lift; athletic,"Builds full-body explosive power from floor to overhead.; Trains the legs, back, and shoulders in one lift.; Doubles as strength and conditioning when done for reps.",HIIT and metcon workout flows in fitness apps; Athletic prep programs for sport-specific tracks; Conditioning assets for performance coaching platforms; Hero clips for short-form conditioning content,"1. Stand with a dumbbell on the floor between your feet and squat down to grip it with one hand. ; 2. Set a flat back, brace your core, and look straight ahead with the dumbbell hanging between your knees. ; 3. Drive through your heels and explode upward, pulling the dumbbell straight up close to your body. ; 4. Catch the dumbbell at shoulder height with the elbow tucked under and your knees softly bent. ; 5. Stand fully tall, then press the dumbbell straight overhead until your arm reaches full lockout. ; 6. Lower the dumbbell back to your shoulder, then to the floor under control before the next rep.","Rounding the lower back during the pull from the floor, which puts the spine at high risk under load.; Curling the dumbbell to the shoulder with the arm instead of using the hips to drive it up.; Pressing overhead before standing fully tall, turning the lift into an unstable push press.; Dropping the dumbbell back down without control, which can injure the shoulder or wrist.","A two-stage explosive lift — clean a dumbbell from the floor to the shoulder, then press it overhead. Conditioning meets full-body strength.","The dumbbell single arm clean and press is a full-body lift that links a hip-driven pull from the floor with an overhead press. The clean explodes the dumbbell up to the shoulder using the lower back, glutes, and front shoulders, then a strict press finishes the rep overhead. Done for reps it doubles as a conditioning piece, done heavy for low reps it's a strength lift.

For app builders, this is a high-value clip for HIIT, kettlebell-style metcon, and athletic prep programs where one tool covers strength and conditioning at once. It's also a good fit for any sport-specific track that wants explosive triple-extension training without barbell setups, and as a hero clip for fitness creators making short-form conditioning content.",posters/dumbbell-single-arm-clean-and-press.webp,dumbbell-single-arm-clean-and-press.mp4
dumbbell-single-arm-row,,Dumbbell Single Arm Row,Back,Biceps,Dumbbell,Pull,beginner,4.27,dumbbell single arm row; back exercise; pull day; dumbbells; lats; upper body,Builds the lats and biceps one side at a time.; Trains a long-range row with bench-supported safety.; Fixes side-to-side imbalances in horizontal pulling.,Pull-day workout flows in strength training apps; Beginner back education modules in coaching platforms; Hypertrophy program assets for upper-body splits; Home and small-gym programming for fitness apps,"1. Place one knee and the same-side hand on a flat bench with your back parallel to the floor. ; 2. Hold a dumbbell in the opposite hand with your arm hanging straight down beneath your shoulder. ; 3. Set a flat back, brace your core, and keep your hips square to the bench. ; 4. Pull the dumbbell up to the side of your ribs by driving your elbow back along your body. ; 5. Squeeze your shoulder blade in toward your spine at the top of the row and pause briefly. ; 6. Lower the dumbbell slowly until your arm is fully extended again, then repeat for reps before switching sides.","Rotating the torso to throw the dumbbell up, which turns the row into a swing and offloads the back.; Pulling with the arm only and letting the elbow flare wide, which trades lat work for rear-shoulder work.; Rounding the lower back instead of bracing flat, which puts the spine at risk under load.; Cutting the bottom range short and skipping the lat stretch, where most of the growth stimulus happens.",The classic one-arm bench-supported row that trains the lats and biceps with side-by-side loading — a pull-day staple in any gym.,"The dumbbell single arm row is the most-programmed unilateral back lift in strength training. Bracing one hand and one knee on a bench and rowing a dumbbell from full hang up to the ribs trains the lats and biceps through a long range of motion, with the bench support keeping the lower back safe and the working side fully isolated.

For any fitness app or coaching platform, this row earns a permanent slot in the pull-day library. It works in beginner programs because the bench setup makes it stable, and it works in advanced hypertrophy blocks because it allows heavy loading one side at a time. It's also a clean teaching piece for the row pattern before users move to barbell rows.",posters/dumbbell-single-arm-row.webp,dumbbell-single-arm-row.mp4
dumbbell-single-leg-calf-raise,,Dumbbell Single Leg Calf Raise,Calves,,Dumbbell,Isolation,beginner,4.27,dumbbell single leg calf raise; calves exercise; leg day; dumbbells; isolation; lower body,Builds each calf independently for balanced size and strength.; Trains ankle stability and lower-leg control under load.; Improves jumping and sprinting drive over time.,Leg-day accessory blocks in fitness apps; Home and travel lower-body programming; Athletic prep tracks for sport-specific apps; Rehab-adjacent ankle and calf content for coaching platforms,"1. Stand on one foot on the edge of a step with your heel hanging off and a dumbbell in the same-side hand. ; 2. Place your other hand on a wall or rail for balance and keep your standing leg slightly bent. ; 3. Lift the non-working foot off the step and tuck it behind your standing leg. ; 4. Lower your heel slowly toward the floor until you feel a deep stretch in the calf. ; 5. Drive up onto the ball of your foot as high as you can go, squeezing the calf hard at the top. ; 6. Pause for one second at the top, lower under control, and repeat for reps before switching legs.","Bouncing through reps and skipping the bottom stretch, which is where the calf gets most of its growth.; Leaning heavily on the balance hand, which removes load from the working leg.; Cutting the top range short and not rising fully onto the ball of the foot.; Rushing through reps too quickly, which trades full contractions for momentum.",A one-leg calf raise loaded with a dumbbell — the simplest way to load each calf hard without a machine.,"The dumbbell single leg calf raise loads one calf at a time using just bodyweight plus a dumbbell. Standing on one foot on the edge of a step or platform with the heel hanging off, the working calf raises and lowers the entire body weight against gravity, while the dumbbell adds extra load — and the unilateral setup forces each calf to work without help from the other side.

For app and program builders, this is a near-essential calf exercise for any home or hotel-gym track because it doesn't need a calf machine. It also fits cleanly into leg-day finishers, athletic prep programs, and rehab-adjacent content where lower-leg balance and ankle strength matter. Pair it with seated calf raises in your library for a complete calf assortment.",posters/dumbbell-single-leg-calf-raise.webp,dumbbell-single-leg-calf-raise.mp4
dumbbell-single-leg-hip-thrust,,Dumbbell Single Leg Hip Thrust,Glutes,Hamstrings; Core,Dumbbell,Hinge; Isolation,intermediate,5.04,single leg hip thrust; dumbbell hip thrust; glutes; unilateral; hip extension; dumbbell,Loads one glute at a time without needing a barbell or a rack.; Finds and trains weak sides that bilateral thrusting hides.; Adds a pelvic stability demand on top of straightforward hip extension.,Setup demonstrations covering shoulder placement on the bench for single leg work.; Single leg and glute focused program blocks.; Imbalance correction and return to training content.; Home and small studio programs without barbell access.,"1. Sit with your upper back against the long edge of a bench. ; 2. Rest a dumbbell across the crease of your hips and hold it in place. ; 3. Plant one foot flat with the shin vertical under the knee. ; 4. Lift the other leg and hold the hip at roughly 90 degrees. ; 5. Drive the planted foot into the floor until your torso is parallel with the floor. ; 6. Lower your hips under control without letting them rotate, then repeat.","Letting the hips drop or rotate toward the free leg, which loses the unilateral load.; Arching the lower back at lockout instead of finishing with the glutes.; Feeling the movement in the lower back, which signals the pelvis is not tilting under.; Loading it before the bilateral version is solid, which just shifts work to the hamstrings.","A bench supported hip thrust driven by one leg, with a dumbbell resting in the crease of the hips.","The dumbbell single leg hip thrust removes half the base and keeps the load. Your upper back rests on a bench, a dumbbell sits in the hip crease, one foot drives into the floor and the other leg is held with the hip at about 90 degrees. Everything the bilateral version does for the glutes now falls on one side, which is why lifters find weak sides quickly here. Keeping the hips level rather than letting them drop or rotate is the whole skill, and the abdominals hold a posterior pelvic tilt so the lower back does not finish the rep.

For a library this is the unilateral glute clip that needs no barbell, so it works in home and small studio programming. It fits dumbbell filters, glute and single leg blocks, and imbalance correction content where each side is trained separately.",posters/dumbbell-single-leg-hip-thrust.webp,dumbbell-single-leg-hip-thrust.mp4
dumbbell-situp,,Dumbbell Situp,Core,,Dumbbell,Core,intermediate,6.4,dumbbell situp; ab exercise; core workout; dumbbells; weighted core; abs,Adds real strength stimulus to the situp pattern.; Builds trunk flexion strength under external load.; Bridges bodyweight ab work into loaded core training.,Intermediate ab and core blocks in fitness apps; Hypertrophy program finishers in coaching platforms; Strength education modules for online courses; Home and travel core workouts in fitness apps,"1. Lie on your back with knees bent at 90 degrees and feet flat on the floor or anchored under a pad. ; 2. Hold a dumbbell against your chest with both hands, hugging it close to your sternum. ; 3. Brace your core and tuck your chin slightly toward your chest before starting the rep. ; 4. Sit all the way up by curling your torso forward until your elbows pass over your knees. ; 5. Pause briefly at the top, keeping the dumbbell tight against your chest the whole time. ; 6. Lower yourself back down slowly under control until your shoulder blades touch the floor.","Yanking the head and neck forward to start the rep, which strains the neck instead of the abs.; Dropping back down quickly and bouncing off the floor instead of controlling the lowering phase.; Holding the dumbbell out in front of the chest, which loads the shoulders instead of the abs.; Hooking the feet too aggressively under a pad, which lets the hip flexors do most of the work.",The classic situp loaded with a dumbbell on the chest — a simple way to add resistance to bodyweight ab work.,"The dumbbell situp adds external load to the bodyweight situp by holding a dumbbell against the chest. The added weight makes every rep harder for the abs and gives the trunk a real strength stimulus instead of just an endurance one — useful for users who can already do high-rep bodyweight situps.

This clip slots into intermediate ab blocks in any fitness app and into hypertrophy programs that include a weighted core finisher. It also pairs well in a coaching platform's strength education modules — a clean way to show progression from bodyweight situps into loaded core work without jumping straight to cable crunches or weighted decline situps.",posters/dumbbell-situp.webp,dumbbell-situp.mp4
dumbbell-skullcrusher,,Dumbbell Skullcrusher,Triceps,,Dumbbell,Isolation,beginner,9.87,dumbbell skullcrusher; triceps exercise; arm day; dumbbells; isolation; upper body,Builds triceps mass through a long-range stretch and squeeze.; Improves pressing lockout strength for chest and shoulder lifts.; Adds upper-arm size with elbow- and wrist-friendly loading.,Arm-day workout flows in strength and hypertrophy apps; Triceps accessory blocks for coaching platforms; Bodybuilding-style training tracks in fitness apps; Coach and trainer Reels for arm content,1. Lie on a flat bench with a dumbbell in each hand pressed straight overhead with palms facing each other. ; 2. Plant your feet on the floor and pull your shoulder blades back and down into the bench. ; 3. Keep your upper arms locked vertical with elbows pointing straight up at the ceiling. ; 4. Lower the dumbbells slowly toward the sides of your forehead by bending only at the elbows. ; 5. Pause briefly when the dumbbells reach ear level and you feel a deep stretch in the triceps. ; 6. Extend the elbows to drive the dumbbells back up to the starting position and squeeze the triceps.,"Letting the upper arms drift back toward your face, which turns the lift into a pullover.; Flaring the elbows out wide, which loads the shoulders instead of isolating the triceps.; Dropping the dumbbells down too fast and bouncing out of the bottom, which risks the elbows and forehead.; Stopping the lockout short and skipping the squeeze at the top, where the triceps fully shorten.",The lying tricep extension done with two dumbbells — the most-programmed mass-builder for the back of the arms.,"The dumbbell skullcrusher is one of the most reliable triceps builders in any program. Lying on a bench with two dumbbells pressed overhead and lowering them toward the forehead by bending only at the elbows hits all three heads of the triceps, with a long range of motion and a strong stretch at the bottom.

This clip is a go-to for any arm-day flow in a fitness app, hypertrophy program, or coaching track. The dumbbell version is friendlier to the wrists and elbows than a barbell or EZ-bar skullcrusher, which makes it the better choice for wider audiences. Pair it in your library with overhead extensions and kickbacks for a complete triceps assortment.",posters/dumbbell-skullcrusher.webp,dumbbell-skullcrusher.mp4
dumbbell-spinal-jefferson-curl,,Dumbbell Spinal Jefferson Curl,Core,,Dumbbell,Stretch,intermediate,6.13,dumbbell jefferson curl; spinal mobility; hamstring stretch; dumbbells; mobility; lower back,"Builds tolerance to loaded spinal flexion.; Lengthens hamstrings, glutes, and lower-back tissue.; Improves overall spinal control and mobility.",Mobility and warm-up blocks in fitness apps; Advanced flexibility tracks in coaching platforms; Recovery and prep modules for online courses; Educational content for coaches and trainers,"1. Stand on a box or bench with feet hip-width apart and a light dumbbell held with both hands in front. ; 2. Stand tall, brace lightly, and tuck your chin toward your chest before starting the curl. ; 3. Begin rolling your spine down one segment at a time, starting from the top of the neck. ; 4. Continue rolling down through the upper back, mid-back, and lower back until the dumbbell drops below the box. ; 5. Hold briefly at the bottom with the legs straight and the dumbbell hanging freely below your feet. ; 6. Roll back up the same way you came down, restacking the spine one segment at a time until standing tall.","Going too heavy too soon, which forces the lower back to bear more load than it's ready for.; Bending the knees during the descent, which removes the hamstring stretch and changes the drill.; Dropping straight down at the hips instead of rolling segment by segment through the spine.; Standing back up by hinging at the hips first, which skips the segmental restack of the spine.","A standing rolldown holding a dumbbell — a slow, segmental spinal flexion drill used to build hamstring and lower-back mobility.","The dumbbell Jefferson curl is a controlled spinal flexion drill borrowed from gymnastics and dance. Standing on a box or bench with a light dumbbell hanging in front and rolling the spine down one segment at a time builds tolerance to loaded spinal flexion and lengthens the entire back chain — hamstrings, glutes, and lower back.

This is a niche but valuable clip for app builders shipping mobility blocks, warm-up routines, or hypertrophy tracks aimed at advanced lifters who care about long-term back resilience. It also fits in coach and trainer education content, since the Jefferson curl is a frequently misunderstood lift that benefits from a clean visual reference. Use light loads and high control — this is not a strength lift.",posters/dumbbell-spinal-jefferson-curl.webp,dumbbell-spinal-jefferson-curl.mp4
dumbbell-standing-single-arm-curl,,Dumbbell Standing Single Arm Curl,Biceps,,Dumbbell,Isolation,beginner,3.47,dumbbell single arm curl; biceps exercise; arm day; dumbbells; isolation; upper body,Builds biceps size one arm at a time.; Fixes side-to-side imbalances in elbow flexion.; Trains controlled curl mechanics with isolated load.,Arm-day workout flows in fitness apps; Beginner onboarding tracks for biceps education; Hypertrophy program assets for arm specialization; Home and travel upper-body programming,"1. Stand tall with a dumbbell in one hand at your side and the other hand resting on your hip. ; 2. Set your feet shoulder-width apart with knees soft and core lightly braced. ; 3. Start with the working arm fully extended and palm facing your thigh. ; 4. Curl the dumbbell up toward your shoulder, rotating your palm to face up as the elbow bends. ; 5. Squeeze the biceps hard at the top with the elbow tucked beside your ribs. ; 6. Lower the dumbbell slowly back down to full extension, then repeat for reps before switching arms.","Swinging the torso back to throw the dumbbell up, which turns the curl into a body swing.; Letting the elbow drift forward, which shortens the biceps stretch and turns the lift into a partial.; Cutting the bottom range short and not fully extending the arm, which kills the stretch position.; Rushing the lowering phase, where most of the muscle-building tension actually lives.",A standing one-arm curl with a dumbbell — the simplest unilateral biceps builder in any arm program.,"The dumbbell standing single arm curl is the most stripped-down biceps lift in any program. Standing tall and curling one dumbbell at a time, with the palm rotating up through the rep, isolates each biceps individually so weak sides can't hide behind strong sides. It's accessible to beginners and still useful in advanced arm specialization phases.

For app and program builders, this clip is a permanent fixture in any arm-day or upper-body block. It's especially useful in beginner onboarding tracks because the unilateral setup makes form easy to coach and easy to feel. Pair it with hammer curls and overhead extensions for a complete arm assortment in your library.",posters/dumbbell-standing-single-arm-curl.webp,dumbbell-standing-single-arm-curl.mp4
dumbbell-standing-single-arm-hammer-curl,,Dumbbell Standing Single Arm Hammer Curl,Biceps,,Dumbbell,Isolation,beginner,3.2,dumbbell hammer curl; biceps exercise; forearm exercise; arm day; dumbbells; isolation,Builds the brachialis underneath the biceps for thicker arms.; Strengthens the forearm and improves grip endurance.; Adds variety to curl programming with neutral-grip loading.,Arm-day workout flows in fitness apps; Hypertrophy program assets for arm specialization; Forearm and grip-strength tracks in coaching platforms; Home and travel upper-body programming,"1. Stand tall with a dumbbell in one hand at your side and the other hand resting on your hip. ; 2. Set your feet shoulder-width apart with knees soft and core lightly braced. ; 3. Start with the working arm fully extended and palm facing your thigh. ; 4. Curl the dumbbell up toward your shoulder while keeping the palm facing in throughout the rep. ; 5. Squeeze the biceps and brachialis hard at the top with the elbow tucked beside your ribs. ; 6. Lower the dumbbell slowly back down to full extension, then repeat for reps before switching arms.","Rotating the wrist into a regular curl partway up, which turns the hammer into a standard biceps curl.; Swinging the torso to throw the dumbbell up, which removes the work from the biceps and forearm.; Letting the elbow drift forward, which shortens the range and reduces brachialis loading.; Cutting the lowering phase short, which skips most of the muscle-building tension.",A one-arm hammer curl that trains the biceps and brachialis with a neutral grip — the curl that builds thicker-looking arms.,"The dumbbell standing single arm hammer curl is a curl variation done with a neutral grip — palms facing in toward the body — instead of the standard supinated grip. That hand position shifts the work onto the brachialis (the muscle underneath the biceps) and the brachioradialis in the forearm, which is what gives the upper arm a thicker, more three-dimensional look.

For app builders, this clip is a strong inclusion in any arm-day or upper-body block alongside the standard biceps curl. It's also useful in hypertrophy specialization programs where users want to build forearm and brachialis thickness, and in coaching platforms teaching grip-position variation as a programming concept.",posters/dumbbell-standing-single-arm-hammer-curl.webp,dumbbell-standing-single-arm-hammer-curl.mp4
dumbbell-step-up-low,,Dumbbell Step-Up (Low),Quadriceps; Glutes,Hamstrings; Calves; Core,Dumbbell,Lunge,beginner,4.8,dumbbell step up; step up; quads; glutes; unilateral; dumbbell,Trains one leg at a time through a step height beginners can control.; Loads the quads and glutes without any spinal compression from a bar.; Rehearses a movement pattern used on every staircase and kerb.,Movement prep segments in group class and circuit style content.; Beginner and older adult functional training blocks.; Single leg progression ladders in a program builder.; Daily movement and stair confidence coaching content.,"1. Hold a dumbbell in each hand with your arms straight at your sides. ; 2. Stand facing a low, stable box with your feet hip width apart. ; 3. Pull your shoulders down and back and brace your abdominals. ; 4. Place one foot flat on the box with the knee tracking over the second toe. ; 5. Press through that heel to stand tall on the box and bring the other foot up. ; 6. Step back down with the trailing foot first, then the working foot, and repeat.","Pushing off the back foot to get up, which takes the work off the stepping leg.; Driving through the toes instead of the heel, which reduces glute involvement.; Letting the stepping knee fall inward as you rise, which stresses the joint.; Dropping down instead of lowering, which throws away the eccentric half of the rep.","A single leg step onto a low box while holding a dumbbell in each hand, driven by the top leg.","The low dumbbell step-up trains one leg at a time through a step height that most people can control. You stand facing a low box with a dumbbell in each hand, place one foot flat on the surface, then press through that heel until the leg is fully extended and the trailing foot joins it. The quadriceps and gluteus maximus produce the movement, and driving through the heel rather than the toes keeps the glutes involved. A low box keeps the hip angle shallow, which makes it accessible to people who cannot yet control a knee height step.

In a library this is the first rung of the single leg progression and the clip beginner and older adult programs reach for. It fits dumbbell filters, functional and daily movement blocks, and progression content that ladders step height before adding load.",posters/dumbbell-step-up-low.webp,dumbbell-step-up-low.mp4
dumbbell-sumo-squat,,Dumbbell Sumo Squat,Glutes,Core; Quadriceps,Dumbbell,Squat,beginner,9.87,dumbbell sumo squat; glutes exercise; leg day; dumbbells; squat pattern; lower body,Builds the glutes and inner thighs with wide-stance loading.; Trains the squat pattern without needing a barbell or rack.; Develops lower-body strength with home-friendly setups.,Leg-day workout flows in fitness apps; Glute specialization assets for coaching platforms; Home and travel lower-body programming; Beginner squat education for online courses,"1. Stand with feet wider than shoulder-width and toes turned out about 30 to 45 degrees. ; 2. Hold one dumbbell vertically with both hands hanging down between your legs. ; 3. Brace your core, lift your chest, and pull your shoulders back to set a tall posture. ; 4. Squat down by pushing your knees out over your toes and lowering your hips between your legs. ; 5. Descend until your thighs reach at least parallel to the floor with the dumbbell hanging near the floor. ; 6. Drive through your heels and squeeze your glutes to stand back up to the starting position.","Letting the knees cave inward instead of pushing them out over the toes, which loads the inside of the knee.; Rounding the lower back at the bottom, which puts the spine at risk under load.; Squatting with feet too narrow, which turns the lift into a regular goblet squat and loses the inner-thigh focus.; Cutting the depth short and stopping above parallel, which leaves most of the glute and adductor work on the table.",A wide-stance squat with a dumbbell hanging between the legs — biases the glutes and inner thighs more than a standard squat.,"The dumbbell sumo squat is a wide-stance squat with a single dumbbell held between the legs. The wide foot position with toes turned out shifts more of the work onto the glutes and inner thighs (adductors), with the quads and lower back assisting through the lift. It's a glute-focused squat that doesn't need a barbell.

This clip earns a permanent slot in any lower-body program, glute specialization track, or general-population strength app. It's also a popular pick for coaches working with home-gym users who only have one heavy dumbbell — the sumo stance lets them load the legs effectively without a rack. Pair it with Romanian deadlifts and hip thrusts for a complete glute-day assortment.",posters/dumbbell-sumo-squat.webp,dumbbell-sumo-squat.mp4
dumbbell-superman,,Dumbbell Superman,Core,,Dumbbell,Core,beginner,9.87,dumbbell superman; lower back exercise; back chain; dumbbells; core workout; back,Builds lower-back endurance and spinal-extensor strength.; Strengthens the back chain from glutes to rear shoulders.; Improves posture for users who sit for long hours.,Back-chain accessory blocks in fitness apps; Postural-correction content for office-worker programs; Mobility and warm-up routines in coaching platforms; Rehab-adjacent lower-back content for online courses,"1. Lie face-down on the floor with your legs straight and arms extended overhead holding a light dumbbell. ; 2. Set your forehead lightly on the floor and gaze straight down to keep the neck in line. ; 3. Brace your core and squeeze your glutes before starting the lift. ; 4. Lift your chest, arms, and legs off the floor at the same time, raising the dumbbell as high as is comfortable. ; 5. Hold the top position for one to two seconds, squeezing your lower back and glutes hard. ; 6. Lower everything back down to the floor under control and reset before the next rep.","Going too heavy and overloading the lower back, which is meant to be trained for endurance here.; Cranking the head and neck up instead of keeping the gaze down, which strains the cervical spine.; Bending the arms or knees during the lift, which shortens the levers and reduces the training effect.; Bouncing the arms and legs up and down quickly instead of holding a clean controlled top position.","A loaded version of the floor superman — lifting the chest, arms, and legs together while holding a dumbbell to train the lower back.","The dumbbell superman is a loaded version of the bodyweight superman. Lying face-down on the floor and lifting the chest, arms, and legs together while holding a dumbbell overhead trains the muscles that extend the spine, with extra emphasis on the lower back, glutes, and rear shoulders.

For app and program builders, this clip is a useful inclusion in any back-chain accessory block, postural-correction track, or rehab-adjacent program where users need to build lower-back endurance carefully. It also pairs well in mobility and warm-up routines for desk-bound users — keep the load light and the focus on a clean controlled hold rather than maximum reps or weight.",posters/dumbbell-superman.webp,dumbbell-superman.mp4
dumbbell-thruster,,Dumbbell Thruster,Glutes; Shoulders; Quadriceps,,Dumbbell,Push,intermediate,9.87,dumbbell thruster; full body exercise; conditioning; dumbbells; compound lift; metcon,"Trains the legs, shoulders, and core in one full-body lift.; Builds conditioning and strength in the same workout.; Develops the front-squat-to-press chain for advanced lifts.",HIIT and metcon workout flows in fitness apps; CrossFit-style programming for strength platforms; Athletic prep tracks for sport-specific apps; Hero clips for conditioning content on social platforms,"1. Stand with feet shoulder-width apart and a dumbbell held at each shoulder with palms facing in. ; 2. Brace your core, sit your hips back and down, and squat until your thighs are parallel to the floor. ; 3. Drive through your heels and explode up out of the squat, using the leg drive to launch the dumbbells. ; 4. Press the dumbbells straight overhead in one continuous motion until your arms reach full lockout. ; 5. Lower the dumbbells back down to your shoulders under control as you sink into the next squat. ; 6. Repeat the squat-to-press chain for the prescribed reps without resting at the top or bottom.","Pressing the dumbbells overhead before fully standing, which kills the leg drive and stresses the shoulders.; Letting the knees cave in during the squat, which loads the inside of the knee under speed.; Cutting the squat depth short, which removes the leg drive that powers the press.; Crashing the dumbbells back onto the shoulders, which jolts the joints and breaks rhythm.",A front squat into an overhead press in one motion — the highest-output dumbbell lift for conditioning and full-body work.,"The dumbbell thruster chains a front squat directly into an overhead press in one continuous motion. The legs do most of the work — driving up out of the squat creates the momentum that helps push the dumbbells overhead — which makes it possible to load the entire body, build conditioning, and burn through a high volume of work in a short time.

For app builders, this clip is essential for any HIIT, metcon, CrossFit-style, or kettlebell-style training track. It's also a strong inclusion in athletic prep programs and short-form conditioning content, where one lift covers strength and cardio at once. It teaches the fundamental front-squat-to-press chain that scales up to barbell thrusters in more advanced tracks.",posters/dumbbell-thruster.webp,dumbbell-thruster.mp4
